#STRS:name=Cold & fast strain
Step,Time,Total Energy,Potential,Kinetic,Temperature,Strain,Stress
36000,180000,-3795.59285,-3855.01392,59.4210702,150.7219423,0.2703643575,0.0002347388487
36800,184000,-3685.475756,-3745.09575,59.61999448,151.226515,0.2786832608,0.0001926785052
37600,188000,-3636.167339,-3695.207143,59.03980377,149.7548574,0.2870021641,0.0001170406367
38400,192000,-3578.923073,-3637.938699,59.01562555,149.6935292,0.2953210674,0.00034096484
39200,196000,-3488.456178,-3547.821241,59.36506304,150.5798797,0.3036399707,0.000179368451
40000,200000,-3404.534502,-3464.606391,60.07188828,152.3727467,0.3119588741,-4.383985193e-05
40800,204000,-3343.307407,-3401.610126,58.3027185,147.8852357,0.3202777774,0.0001860514913
41600,208000,-3281.00928,-3340.511793,59.50251335,150.9285234,0.3285966807,0.0001590791466
42400,212000,-3179.033815,-3237.695321,58.66150629,148.7953033,0.336915584,4.604764168e-05
43200,216000,-3095.346128,-3155.311278,59.96515006,152.1020045,0.3452344873,0.0002156668981
44000,220000,-3057.346968,-3118.865664,61.51869667,156.0425859,0.3535533906,0.0001747908739
44800,224000,-2970.295041,-3030.33602,60.04097944,152.2943462,0.3618722939,0.0002829787947
45600,228000,-2879.129894,-2939.432874,60.30297998,152.9589124,0.3701911972,-2.070484726e-05
46400,232000,-2831.376956,-2891.823807,60.44685105,153.3238423,0.3785101005,0.0001545104268
47200,236000,-2750.988964,-2812.138525,61.14956128,155.2080472,0.3868290038,0.0001489292661
48000,240000,-2650.897837,-2711.702466,60.80462873,154.3325494,0.3951479071,5.925183166e-05
48800,244000,-2586.525209,-2646.842748,60.31753947,153.0962336,0.4034668104,0.0001074067728
49600,248000,-2543.663274,-2604.27435,60.61107647,153.8412807,0.4117857138,0.0003185798595
50400,252000,-2441.767297,-2502.313589,60.54629183,153.7777502,0.4201046171,0.0001470037609
51200,256000,-2340.013715,-2401.781488,61.76777309,156.9831892,0.4284235204,-1.889382867e-05
52000,260000,-2271.190396,-2332.948437,61.75804167,157.2684472,0.4367424237,0.0002292709605
52800,264000,-2199.916357,-2260.550129,60.63377219,154.5071823,0.445061327,0.0001165008132
53600,268000,-2111.069414,-2172.134488,61.06507382,155.6062266,0.4533802303,6.257818659e-05
