#STRS:name=Cold & slow strain
Step,Time,Total Energy,Potential,Kinetic,Temperature,Strain,Stress
36800,184000,-5464.949273,-5503.507072,38.557799,97.80211524,0.09289442027,0.001831782705
37600,188000,-5335.893607,-5374.782838,38.88923088,98.64279441,0.09566738804,0.002118946271
38400,192000,-5423.966092,-5462.89584,38.92974849,98.74556761,0.09844035581,0.002080205394
39200,196000,-5382.470281,-5422.520487,40.05020566,101.5876147,0.1012133236,0.002417262828
40000,200000,-5333.413169,-5373.396225,39.98305563,101.4172882,0.1039862913,0.002164223481
40800,204000,-5289.694007,-5330.877971,41.18396447,104.4634015,0.1067592591,0.001701791179
41600,208000,-5258.253588,-5300.119914,41.86632548,106.1942148,0.1095322269,0.001734579576
42400,212000,-5242.836313,-5285.805246,42.96893311,108.9909864,0.1123051947,0.001525951903
43200,216000,-5208.84543,-5253.961723,45.11629283,114.4377787,0.1150781624,0.001439413788
44000,220000,-5202.187324,-5246.493928,44.30660438,112.3839986,0.1178511302,0.001459049493
44800,224000,-5208.019812,-5251.254626,43.2348143,109.6653959,0.120624098,0.001726234452
45600,228000,-5195.320629,-5239.207463,43.88683361,111.3192472,0.1233970657,0.001572099997
46400,232000,-5161.095301,-5205.89033,44.79502906,113.622891,0.1261700335,0.001241849717
47200,236000,-5146.632734,-5193.611952,46.97921834,119.1631018,0.1289430013,0.000985647166
48000,240000,-5117.990345,-5163.668422,45.67807706,115.8627482,0.131715969,0.0008926308172
48800,244000,-5109.1027,-5154.482449,45.37974883,115.1060366,0.1344889368,0.001138620028
49600,248000,-5075.055685,-5121.606829,46.55114368,118.0772875,0.1372619046,0.0009773682342
50400,252000,-4998.943746,-5045.428927,46.48518052,117.9099715,0.1400348724,0.0005095109874
51200,256000,-4981.499583,-5029.321451,47.82186833,121.3004891,0.1428078401,0.0006445088823
52000,260000,-4973.855802,-5022.388997,48.5331955,123.1047752,0.1455808079,0.0007341784152
52800,264000,-4948.170153,-4995.446737,47.27658494,119.9173741,0.1483537757,0.0006487368914
53600,268000,-4923.755226,-4970.949868,47.19464201,119.7095253,0.1511267434,0.000741523623
54400,272000,-4923.995329,-4971.517963,47.52263394,120.5414791,0.1538997112,0.000964845903
