#PARAMS:size=2869,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
23400,3210,762.766,282.87,-10211.9
23500,3225,761.531,282.412,-10210
23600,3240,753.711,279.511,-10205.4
23700,3255,750.789,278.428,-10202.7
23800,3270,749.715,278.03,-10200.8
23900,3285,748.288,277.5,-10198.9
24000,3300,757.35,280.861,-10200.9
24100,3315,750.612,278.362,-10196.6
24200,3330,748.966,277.752,-10194.5
24300,3345,763.189,283.026,-10198.3
24400,3360,767.015,284.445,-10198.4
24500,3375,768.315,284.927,-10197.4
24600,3390,767.31,284.555,-10195.3
24700,3405,764.183,283.395,-10192.6
24800,3420,780.742,289.536,-10197.4
24900,3435,780.278,289.364,-10195.8
25000,3450,767.84,284.751,-10189.4
25100,3465,770.703,285.813,-10189
25200,3480,770.066,285.577,-10187.2
25300,3495,776.744,288.053,-10188.2
25400,3510,775.909,287.743,-10186.3
25500,3525,781.04,289.646,-10186.8
25600,3540,785.472,291.29,-10186.9
25700,3555,774.893,287.367,-10181.4
25800,3570,767.624,284.671,-10177
25900,3585,767.756,284.72,-10175.5
26000,3600,780.707,289.523,-10178.9
26100,3615,783.804,290.671,-10178.7
26200,3630,778.8,288.816,-10175.3
26300,3645,775.469,287.58,-10172.3
26400,3660,770.582,285.768,-10168.9
26500,3675,783.321,290.492,-10172.3
26600,3690,783.116,290.416,-10170.7
26700,3705,779.395,289.036,-10167.7
26800,3720,779.669,289.138,-10166.3
26900,3735,773.493,286.847,-10162.5
27000,3750,780.487,289.441,-10163.7
27100,3765,784.341,290.87,-10163.5
27200,3780,777.604,288.372,-10159.4
27300,3795,782.278,290.105,-10159.7
27400,3810,779.353,289.021,-10157.2
27500,3825,781.753,289.911,-10156.7
27600,3840,790.507,293.157,-10158.4
27700,3855,788.534,292.425,-10156
27800,3870,784.384,290.886,-10152.9
27900,3885,779.754,289.169,-10149.7
28000,3900,781.198,289.705,-10148.8
28100,3915,784.014,290.749,-10148.3
28200,3930,788.123,292.273,-10148.3
28300,3945,789.181,292.665,-10147.1
28400,3960,788.252,292.321,-10145.2
28500,3975,790.818,293.273,-10144.7
28600,3990,786.016,291.492,-10141.5
28700,4005,791.116,293.383,-10141.9
28800,4020,782.712,290.266,-10137.1
28900,4035,780.088,289.293,-10134.6
29000,4050,787.889,292.186,-10136.1
29100,4065,793.924,294.424,-10136.8
29200,4080,786.436,291.647,-10132.5
29300,4095,789.664,292.844,-10132.1
29400,4110,791.121,293.385,-10131.2
29500,4125,781.424,289.789,-10126.1
29600,4140,785.736,291.388,-10126.3
29700,4155,783.808,290.673,-10124
29800,4170,781.282,289.736,-10121.4
29900,4185,781.105,289.67,-10119.8
30000,4200,783.117,290.416,-10119
30100,4215,803.199,297.864,-10125.2
30200,4230,786.493,291.668,-10117.4
30300,4245,791.684,293.594,-10117.7
30400,4260,788.899,292.561,-10115.1
30500,4275,782.522,290.196,-10111.4
30600,4290,796.551,295.399,-10115.3
30700,4305,785.146,291.169,-10109.3
30800,4320,785.337,291.24,-10107.8
30900,4335,796.774,295.481,-10110.6
31000,4350,798.369,296.073,-10109.8
31100,4365,794.981,294.816,-10106.9
31200,4380,803.495,297.974,-10108.5
31300,4395,790.497,293.153,-10102.2
31400,4410,801.555,297.254,-10105
31500,4425,796.993,295.562,-10101.8
31600,4440,799.191,296.378,-10101
31700,4455,800.359,296.811,-10100
31800,4470,790.623,293.2,-10094.8
31900,4485,793.372,294.22,-10094.1
32000,4500,791.318,293.458,-10091.9
32100,4515,792.055,293.731,-10090.8
32200,4530,798.981,296.3,-10092
32300,4545,795.451,294.99,-10089.1
32400,4560,799.131,296.355,-10089
32500,4575,788.851,292.543,-10083.5
32600,4590,790.966,293.327,-10082.8
32700,4605,790.563,293.178,-10081.1
32800,4620,786.35,291.616,-10077.9
32900,4635,791.072,293.367,-10078.3
33000,4650,789.25,292.691,-10076
33100,4665,789.905,292.934,-10074.8
33200,4680,792.368,293.847,-10074.4
33300,4695,796.766,295.478,-10074.4
33400,4710,794.477,294.63,-10072
33500,4725,808.449,299.811,-10075.8
33600,4740,805.237,298.62,-10073.1
33700,4755,801.361,297.182,-10070
33800,4770,804.675,298.411,-10069.9
33900,4785,800.983,297.042,-10066.8
34000,4800,800.98,297.041,-10065.4
34100,4815,806.606,299.127,-10065.9
34200,4830,801.718,297.315,-10062.7
34300,4845,804.775,298.448,-10062.4
34400,4860,807.035,299.287,-10061.6
34500,4875,806.186,298.972,-10059.8
34600,4890,805.868,298.854,-10058.2
34700,4905,817.672,303.231,-10061.2
34800,4920,801.125,297.095,-10053.3
34900,4935,804.789,298.453,-10053.2
35000,4950,818.132,303.402,-10056.8
35100,4965,824.613,305.805,-10057.7
35200,4980,808.67,299.893,-10050.1
