Step,Time,Total Energy,Potential,Kinetic,Temperature
17400,52200,-3263.381118,-3315.938272,52.557154,440.5203655
17500,52500,-3262.937353,-3311.337904,48.40055176,405.6808089
17600,52800,-3263.112449,-3313.106687,49.99423818,419.0386731
17700,53100,-3263.565809,-3314.742559,51.17675012,428.95018
17800,53400,-3263.335534,-3314.765647,51.43011226,431.0737954
17900,53700,-3262.916533,-3312.609531,49.69299813,416.5137576
18000,54000,-3263.215209,-3313.984143,50.76893392,425.5319709
18100,54300,-3263.48117,-3314.934727,51.45355712,431.2703041
18200,54600,-3263.163812,-3313.036314,49.87250287,418.0183195
18300,54900,-3263.080193,-3313.302761,50.22256798,420.952474
18400,55200,-3263.308464,-3314.330349,51.02188472,427.6521386
18500,55500,-3263.391895,-3314.417605,51.02571046,427.6842049
18600,55800,-3263.213926,-3314.100075,50.88614906,426.5144376
18700,56100,-3263.044383,-3310.379118,47.3347349,396.7474099
18800,56400,-3263.304314,-3315.576726,52.27241174,438.1337301
18900,56700,-3263.397113,-3313.847676,50.45056367,422.8634744
19000,57000,-3263.23092,-3313.765366,50.53444645,423.566558
19100,57300,-3263.128573,-3311.823368,48.69479563,408.1470844
19200,57600,-3263.271406,-3313.382947,50.11154126,420.021877
19300,57900,-3263.301833,-3312.884811,49.58297818,415.591599
19400,58200,-3263.177488,-3312.316328,49.13884014,411.8689497
19500,58500,-3263.16119,-3312.877637,49.71644723,416.7103018
19600,58800,-3263.355605,-3314.000757,50.64515245,424.4944668
19700,59100,-3263.207719,-3314.331696,51.12397622,428.5078429
19800,59400,-3263.12835,-3311.589438,48.46108842,406.1882115
19900,59700,-3263.166058,-3312.694488,49.52843008,415.1343911
20000,60000,-3263.335734,-3313.523305,50.18757037,420.6591332
20100,60300,-3261.699491,-3312.368561,50.66907042,424.694941
20200,60600,-3260.15569,-3311.399553,51.24386293,429.5127021
20300,60900,-3258.762092,-3312.447337,53.68524505,449.9757306
20400,61200,-3257.386047,-3310.883287,53.49724042,448.3999248
20500,61500,-3256.030129,-3309.143389,53.11326023,445.181503
20600,61800,-3254.518073,-3306.367211,51.84913785,434.5859587
20700,62100,-3253.313789,-3307.784486,54.47069679,456.5591823
20800,62400,-3251.988776,-3307.848758,55.85998154,468.203805
20900,62700,-3250.786751,-3306.755739,55.96898729,469.1174628
21000,63000,-3249.665056,-3304.937155,55.27209826,463.2763206
